Col 0 x, Col 0 y, Col 1 x, Col 1 y
10.24, 121.75, 70.34, 121.75
10.24, 90.1, 70.34, 90.1
10.24, 58.45, 70.34, 58.45
10.24, 26.8, 70.34, 26.8
